season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2000,25,Philadelphia 76ers,82,19830,39.1,88.5,0.442,2.7,8.4,0.323,36.4,80.1,0.454,20.6,29.1,0.708,15,32.2,47.2,23.7,10.3,5,16.8,25.3,101.5,TRUE
2000,26,Cleveland Cavaliers,82,19855,37.6,85.1,0.442,4.3,11.6,0.373,33.3,73.4,0.453,20.9,27.9,0.75,12.8,31.6,44.3,24.5,9,4.6,18,28,100.4,FALSE
2000,27,Golden State Warriors,82,19755,38.1,90.9,0.42000000000000004,4.4,13.6,0.323,33.8,77.3,0.43700000000000006,19.1,27.3,0.697,16.6,31,47.6,23.6,9.3,4.5,16.6,26,99.8,FALSE
2000,28,Los Angeles Clippers,82,19705,37.3,87.6,0.42600000000000005,5.6,16.4,0.33899999999999997,31.7,71.2,0.446,17.7,23.7,0.746,12.4,30.8,43.2,19.2,7.5,6.4,17.2,23.6,97.8,FALSE
2000,29,Chicago Bulls,82,19805,34.8,83.7,0.41500000000000004,4.6,14,0.329,30.1,69.7,0.43200000000000005,20.1,28.3,0.709,14,31.5,45.5,22.3,8.8,5.2,21.1,25.8,94.2,FALSE
2001,1,Milwaukee Bucks,82,19780,41,89.5,0.458,7.4,19.5,0.379,33.6,70,0.48000000000000004,19.4,24.7,0.7869999999999999,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,TRUE
2001,2,Los Angeles Lakers,82,19905,40.9,87.9,0.465,5.8,16.8,0.344,35.1,71.1,0.494,20.9,30.7,0.6829999999999999,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,TRUE
2001,3,Utah Jazz,82,19780,40,85,0.47100000000000003,4.4,11.5,0.381,35.6,73.5,0.48500000000000004,23.2,30.8,0.752,12.7,32.2,45,28.5,8.9,6.3,17.5,28.5,107.6,TRUE
2001,4,Dallas Mavericks,82,19805,40.1,87.3,0.459,6.7,17.6,0.381,33.4,69.7,0.47900000000000004,20.2,25.4,0.7939999999999999,10.8,33.4,44.2,22.6,8,6.4,14.8,24.8,107.1,TRUE
2001,5,Houston Rockets,82,19830,39.4,86.9,0.453,6.7,18.9,0.357,32.7,68,0.48000000000000004,21.2,27.9,0.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,FALSE
2001,6,San Antonio Spurs,82,19830,39,84.6,0.461,6,14.8,0.40700000000000003,33,69.8,0.47200000000000003,22.6,31.6,0.715,12.2,36.6,48.8,24,7.7,7.8,15.5,21,106.6,TRUE
2001,7,Portland Trail Blazers,82,19780,40.9,87.3,0.468,5,14.4,0.349,35.9,73,0.492,19.7,25.8,0.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5,TRUE
2001,8,Toronto Raptors,82,19955,40.3,92.2,0.43700000000000006,5.7,15.4,0.369,34.6,76.8,0.451,19.6,26.2,0.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9,TRUE
2001,9,Sacramento Kings,82,20080,39.7,88.2,0.449,6.1,17.1,0.354,33.6,71.1,0.47200000000000003,20.3,26.3,0.771,12.5,34.2,46.7,23.4,10,5.5,15.5,20.2,105.6,TRUE
2001,10,Seattle SuperSonics,82,19805,40.1,88,0.456,6.2,15.5,0.399,33.9,72.5,0.468,19.2,26.3,0.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6,FALSE
2001,11,Minnesota Timberwolves,82,19830,41.5,90.5,0.458,4.2,11.9,0.357,37.2,78.7,0.47300000000000003,18,22.9,0.7849999999999999,13.2,32.6,45.8,27.5,9,6,15,25,105.2,TRUE
2001,12,Denver Nuggets,82,19780,39,90.1,0.43300000000000005,6.7,18.9,0.355,32.3,71.2,0.454,19,25.7,0.737,13.7,33.8,47.5,25.8,7.2,7,14.9,23.8,103.7,FALSE
2001,13,Philadelphia 76ers,82,19855,38.7,86.6,0.447,3.5,10.7,0.326,35.2,75.8,0.464,22.6,30.4,0.745,14.3,34.7,49,22.6,9.2,5.4,17.2,22.3,103.6,TRUE
2001,14,Orlando Magic,82,19955,38.9,88.7,0.43800000000000006,6.3,17.4,0.364,32.6,71.4,0.456,19.1,26.7,0.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2,TRUE
2001,15,Indiana Pacers,82,19980,38,86.4,0.44,5.3,15.6,0.34199999999999997,32.7,70.8,0.461,20.7,27,0.766,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102,TRUE
2001,16,Charlotte Hornets,82,19880,37.8,87.8,0.43100000000000005,4.6,13.3,0.346,33.2,74.5,0.446,21.6,29,0.745,13.9,35.2,49.2,25.7,9,6.1,16,23.7,101.8,TRUE
2001,17,Boston Celtics,82,19830,36.3,84.8,0.42800000000000005,7.7,21.3,0.363,28.5,63.4,0.45,21.2,28.6,0.74,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4,FALSE
